Date|Active Users|Favorites|Total Visits|Voice Chat|Camera|Date Created|Last Updated|Server Size|Genre|Title|Creator|Age Recommendation|gameID|Category|URL
2024-11-02 23:04:29|106138|2319042|4.5B+|Not Supported|Not Supported|1/8/2022|11/2/2024|30|Roleplay & Avatar Sim|Berry Avenue 🏠 RP|Amberry Games|All Ages|8481844229|Trending Music Experiences|https://www.roblox.com/games/8481844229/Berry-Avenue-RP?appliedFilters=device%253Dall%252Cage%253Dall%252Ccountry%253Dall&discoverPageSessionInfo=a3919ae2-73d3-4499-a6d3-dc18ba62f568&gameSetTargetId=216&gameSetTypeId=23&isAd=false&nativeAdData=&numberOfLoadedTiles=54&page=gamesPage&placeId=8481844229&playContext=gamesPage&position=25&sortPos=5&universeId=3240075297
2024-11-02 23:04:33|40980|24418965|1.0B+|Not Supported|Not Supported|4/3/2023|11/1/2024|23|Roleplay & Avatar Sim|Metro Life 🎃 City RP|Century Creators|All Ages|12985361032|Trending Music Experiences|https://www.roblox.com/games/12985361032/Metro-Life-City-RP?appliedFilters=device%253Dall%252Cage%253Dall%252Ccountry%253Dall&discoverPageSessionInfo=a3919ae2-73d3-4499-a6d3-dc18ba62f568&gameSetTargetId=216&gameSetTypeId=23&isAd=false&nativeAdData=&numberOfLoadedTiles=54&page=gamesPage&placeId=12985361032&playContext=gamesPage&position=52&sortPos=5&universeId=4540138978
2024-11-02 23:04:37|26997|1230324|1.1B+|Not Supported|Not Supported|2/16/2024|11/2/2024|25|Adventure|a dusty trip [🎃HALLOWEEN]|Jandels Road Trip|All Ages|16389395869|Trending Music Experiences|https://www.roblox.com/games/16389395869/a-dusty-trip-HALLOWEEN?appliedFilters=device%253Dall%252Cage%253Dall%252Ccountry%253Dall&discoverPageSessionInfo=a3919ae2-73d3-4499-a6d3-dc18ba62f568&gameSetTargetId=216&gameSetTypeId=23&isAd=false&nativeAdData=&numberOfLoadedTiles=54&page=gamesPage&placeId=16389395869&playContext=gamesPage&position=28&sortPos=5&universeId=5650396773
2024-11-02 23:04:41|14444|1213948|543.2M+|Not Supported|Not Supported|8/16/2019|11/2/2024|60|Roleplay & Avatar Sim|Warrior Cats: Ultimate Edition|WarriorCatsRP|All Ages|3663340706|Trending Music Experiences|https://www.roblox.com/games/3663340706/Warrior-Cats-Ultimate-Edition?appliedFilters=device%253Dall%252Cage%253Dall%252Ccountry%253Dall&discoverPageSessionInfo=a3919ae2-73d3-4499-a6d3-dc18ba62f568&gameSetTargetId=216&gameSetTypeId=23&isAd=false&nativeAdData=&numberOfLoadedTiles=54&page=gamesPage&placeId=3663340706&playContext=gamesPage&position=29&sortPos=5&universeId=1278035280
2024-11-02 23:04:44|72770|3344032|1.1B+|Not Supported|Not Supported|7/6/2023|11/2/2024|28|Roleplay & Avatar Sim|LifeTogether 🏠 RP (UPDATE 33)|Cinnamon Software|All Ages|13967668166|Trending Music Experiences|https://www.roblox.com/games/13967668166/LifeTogether-RP-UPDATE-33?appliedFilters=device%253Dall%252Cage%253Dall%252Ccountry%253Dall&discoverPageSessionInfo=a3919ae2-73d3-4499-a6d3-dc18ba62f568&gameSetTargetId=216&gameSetTypeId=23&isAd=false&nativeAdData=&numberOfLoadedTiles=54&page=gamesPage&placeId=13967668166&playContext=gamesPage&position=38&sortPos=5&universeId=4839802560
2024-11-02 23:04:49|21054|539561|313.1M+|Not Supported|Not Supported|9/12/2018|11/2/2024|10|Sports & Racing|[🎃] NFL Universe Football|NFL Universe Football by Voldex|All Ages|2338325648|Trending Music Experiences|https://www.roblox.com/games/2338325648/NFL-Universe-Football?appliedFilters=device%253Dall%252Cage%253Dall%252Ccountry%253Dall&discoverPageSessionInfo=a3919ae2-73d3-4499-a6d3-dc18ba62f568&gameSetTargetId=216&gameSetTypeId=23&isAd=false&nativeAdData=&numberOfLoadedTiles=54&page=gamesPage&placeId=2338325648&playContext=gamesPage&position=12&sortPos=5&universeId=184199275
2024-11-02 23:04:52|13465|67955|76.1M+|Not Supported|Not Supported|6/21/2024|11/2/2024|25|Simulation|[🎃] Anime Card Battle|Kung Fu Cat Panda Pepper|All Ages|18138547215|Trending Music Experiences|https://www.roblox.com/games/18138547215/Anime-Card-Battle?appliedFilters=device%253Dall%252Cage%253Dall%252Ccountry%253Dall&discoverPageSessionInfo=a3919ae2-73d3-4499-a6d3-dc18ba62f568&gameSetTargetId=216&gameSetTypeId=23&isAd=false&nativeAdData=&numberOfLoadedTiles=54&page=gamesPage&placeId=18138547215&playContext=gamesPage&position=39&sortPos=5&universeId=6149138290
2024-11-02 23:04:56|38425|7641414|4.1B+|Not Supported|Not Supported|11/2/2016|3/1/2024|7|Simulation|Build A Boat For Treasure|Chillz Studios|All Ages|537413528|Trending Music Experiences|https://www.roblox.com/games/537413528/Build-A-Boat-For-Treasure?appliedFilters=device%253Dall%252Cage%253Dall%252Ccountry%253Dall&discoverPageSessionInfo=a3919ae2-73d3-4499-a6d3-dc18ba62f568&gameSetTargetId=216&gameSetTypeId=23&isAd=false&nativeAdData=&numberOfLoadedTiles=54&page=gamesPage&placeId=537413528&playContext=gamesPage&position=26&sortPos=5&universeId=210851291
2024-11-02 23:05:00|7902|2309465|1.0B+|Not Supported|Not Supported|6/28/2017|11/2/2024|25|Roleplay & Avatar Sim|(HALLOWEEN EVENT MAP CHANGES + CARS!) Greenville|Greenville Wisconsin|All Ages|891852901|Trending Music Experiences|https://www.roblox.com/games/891852901/HALLOWEEN-EVENT-MAP-CHANGES-CARS-Greenville?appliedFilters=device%253Dall%252Cage%253Dall%252Ccountry%253Dall&discoverPageSessionInfo=a3919ae2-73d3-4499-a6d3-dc18ba62f568&gameSetTargetId=216&gameSetTypeId=23&isAd=false&nativeAdData=&numberOfLoadedTiles=54&page=gamesPage&placeId=891852901&playContext=gamesPage&position=23&sortPos=5&universeId=371263894
2024-11-02 23:05:05|9629|387675|216.2M+|Not Supported|Not Supported|6/22/2023|11/2/2024|8|Simulation|Pull a Sword|xFrozen Obbys|All Ages|13827198708|Trending Music Experiences|https://www.roblox.com/games/13827198708/Pull-a-Sword?appliedFilters=device%253Dall%252Cage%253Dall%252Ccountry%253Dall&discoverPageSessionInfo=a3919ae2-73d3-4499-a6d3-dc18ba62f568&gameSetTargetId=216&gameSetTypeId=23&isAd=false&nativeAdData=&numberOfLoadedTiles=54&page=gamesPage&placeId=13827198708&playContext=gamesPage&position=31&sortPos=5&universeId=4795326392
